Implementation,Threads,MsgSize,Throughput_Gbps,Latency_us,Cycles,Instructions,L1_Misses,Cache_Misses,Context_Switches
Two-Copy,1,4096,2.49,13.14,6730878861,4139493103,191163386,43395331,122777
Two-Copy,1,16384,8.37,15.66,6880595195,3889213419,307110922,57589020,117126
Two-Copy,1,65536,14.23,36.85,5444368670,2800131306,377182567,85640182,130332
Two-Copy,1,524288,9.31,450.29,8233223668,1053981220,221033157,79124045,20536
Two-Copy,2,4096,4.95,13.23,13161788923,7983184290,375380336,76960100,254547
Two-Copy,2,16384,21.96,11.94,17263535691,10020655149,805535992,148986355,251610
Two-Copy,2,65536,28.85,36.35,11633033764,5670059459,768752583,209111175,254255
Two-Copy,2,524288,18.07,464.27,16555769374,1986436423,425532538,169957940,35941
Two-Copy,4,4096,11.09,11.82,33335559090,17019916378,886894664,191437155,358861
Two-Copy,4,16384,30.51,17.18,28201742461,13369585744,1152777614,245088547,329686
Two-Copy,4,65536,55.84,37.55,25058427814,10404208547,1492629557,469638856,419973
Two-Copy,4,524288,32.33,519.01,33240203877,3555923248,767443106,301699078,55418
Two-Copy,8,4096,14.02,18.70,38145699326,18958829678,1045613706,182790949,416670
Two-Copy,8,16384,44.39,23.62,39261310017,17737967110,1643067566,344722664,445732
Two-Copy,8,65536,59.92,70.00,30650371712,11531328232,1634667248,533015455,579825
Two-Copy,8,524288,44.50,754.01,47339698408,5691121864,1092485714,437873084,113983
One-Copy,1,4096,2.51,13.04,6999570428,4230152780,194119288,44672593,122365
One-Copy,1,16384,8.82,14.85,7095145474,4048621814,323399980,57034096,122204
One-Copy,1,65536,17.07,30.72,6068909265,3130762612,446769946,90653046,139010
One-Copy,1,524288,12.49,335.80,9564894518,1282538337,288082902,88154538,15108
One-Copy,2,4096,4.95,13.23,13602304595,8454300063,389772252,81227539,251503
One-Copy,2,16384,16.68,15.71,13220086472,7752639309,615569245,116155095,255172
One-Copy,2,65536,45.30,23.15,15208863455,7722343728,1171065167,243354757,305203
One-Copy,2,524288,31.59,265.55,20797467145,3295806343,732919845,251431880,58396
One-Copy,4,4096,9.61,13.64,29611997340,15848314440,791572471,159878759,373111
One-Copy,4,16384,31.47,16.66,28723530263,13908567950,1187698267,215623167,361591
One-Copy,4,65536,61.28,34.22,25521970707,10469926566,1612123442,431209382,351818
One-Copy,4,524288,50.39,332.92,36356900924,5487145562,1182014257,386789303,96852
One-Copy,8,4096,13.34,19.65,39493190153,19695363094,1056167544,171036023,462971
One-Copy,8,16384,45.71,22.94,40911132701,18932201970,1707610021,315008746,489708
One-Copy,8,65536,85.23,49.21,37087420884,14595869791,2261792463,584519798,472402
One-Copy,8,524288,87.39,383.97,65086750468,10291586292,2122969848,687999948,190316
Zero-Copy,1,4096,1.62,20.25,5424441820,3426791999,145813976,34303646,124586
Zero-Copy,1,16384,5.50,23.83,5988326994,3721385956,232147531,53062018,140018
Zero-Copy,1,65536,11.88,44.13,4853279337,2845031088,314827934,86535286,111907
Zero-Copy,1,524288,12.89,325.48,5388762352,2338038802,318722751,144704303,68862
Zero-Copy,2,4096,3.20,20.50,10806771797,6744270128,290410904,69686165,243462
Zero-Copy,2,16384,10.05,26.08,10871351314,6784088574,425558525,95658762,267004
Zero-Copy,2,65536,23.26,45.09,9826800423,5545843996,618065936,197815944,217456
Zero-Copy,2,524288,25.96,323.17,11037000118,4703059960,644096788,318842392,134340
Zero-Copy,4,4096,5.56,23.57,23323180759,12157500364,564496715,144503310,430072
Zero-Copy,4,16384,21.58,24.30,26517904753,13592132022,930227379,247510025,445466
Zero-Copy,4,65536,40.88,51.30,20931937052,9897492076,1128881083,403387485,356401
Zero-Copy,4,524288,44.83,374.26,26273679659,8544067723,1214754532,681108196,202259
Zero-Copy,8,4096,7.15,36.65,36329884150,17999289086,833095571,207533509,653443
Zero-Copy,8,16384,25.40,41.28,36796977024,17621219683,1171216386,363746740,609398
Zero-Copy,8,65536,54.55,76.90,33028512609,15216267228,1618250421,687086544,408086
Zero-Copy,8,524288,64.41,520.92,43547038342,13847213908,1863530050,854314832,214066
